timestamp,Global_reactive_power
16/12/2006 17:24:00,0.418
16/12/2006 17:25:00,0.436
16/12/2006 17:26:00,0.498
16/12/2006 17:27:00,0.502
16/12/2006 17:28:00,0.528
16/12/2006 17:29:00,0.522
16/12/2006 17:30:00,0.520
16/12/2006 17:31:00,0.520
16/12/2006 17:32:00,0.510
16/12/2006 17:33:00,0.510
16/12/2006 17:34:00,0.498
16/12/2006 17:35:00,0.470
16/12/2006 17:36:00,0.478
16/12/2006 17:37:00,0.398
16/12/2006 17:38:00,0.422
16/12/2006 17:39:00,0.282
16/12/2006 17:40:00,0.152
16/12/2006 17:41:00,0.156
16/12/2006 17:42:00,0.000
16/12/2006 17:43:00,0.000
16/12/2006 17:44:00,0.000
16/12/2006 17:45:00,0.000
16/12/2006 17:46:00,0.000
16/12/2006 17:47:00,0.000
16/12/2006 17:48:00,0.000
16/12/2006 17:49:00,0.000
16/12/2006 17:50:00,0.000
16/12/2006 17:51:00,0.000
16/12/2006 17:52:00,0.000
16/12/2006 17:53:00,0.000
16/12/2006 17:54:00,0.000
16/12/2006 17:55:00,0.076
16/12/2006 17:56:00,0.090
16/12/2006 17:57:00,0.000
16/12/2006 17:58:00,0.200
16/12/2006 17:59:00,0.058
16/12/2006 18:00:00,0.180
16/12/2006 18:01:00,0.144
16/12/2006 18:02:00,0.118
16/12/2006 18:03:00,0.108
16/12/2006 18:04:00,0.202
16/12/2006 18:05:00,0.192
16/12/2006 18:06:00,0.186
16/12/2006 18:07:00,0.144
16/12/2006 18:08:00,0.116
16/12/2006 18:09:00,0.136
16/12/2006 18:10:00,0.148
16/12/2006 18:11:00,0.152
16/12/2006 18:12:00,0.144
16/12/2006 18:13:00,0.160
16/12/2006 18:14:00,0.158
16/12/2006 18:15:00,0.100
16/12/2006 18:16:00,0.076
16/12/2006 18:17:00,0.082
16/12/2006 18:18:00,0.000
16/12/2006 18:19:00,0.000
16/12/2006 18:20:00,0.000
16/12/2006 18:21:00,0.000
16/12/2006 18:22:00,0.000
16/12/2006 18:23:00,0.000
16/12/2006 18:24:00,0.000
16/12/2006 18:25:00,0.000
16/12/2006 18:26:00,0.000
16/12/2006 18:27:00,0.000
16/12/2006 18:28:00,0.000
16/12/2006 18:29:00,0.000
16/12/2006 18:30:00,0.000
16/12/2006 18:31:00,0.050
16/12/2006 18:32:00,0.052
16/12/2006 18:33:00,0.162
16/12/2006 18:34:00,0.086
16/12/2006 18:35:00,0.000
16/12/2006 18:36:00,0.000
16/12/2006 18:37:00,0.000
16/12/2006 18:38:00,0.048
16/12/2006 18:39:00,0.054
16/12/2006 18:40:00,0.054
16/12/2006 18:41:00,0.054
16/12/2006 18:42:00,0.054
16/12/2006 18:43:00,0.068
16/12/2006 18:44:00,0.166
16/12/2006 18:45:00,0.174
16/12/2006 18:46:00,0.186
16/12/2006 18:47:00,0.178
16/12/2006 18:48:00,0.188
16/12/2006 18:49:00,0.088
16/12/2006 18:50:00,0.080
16/12/2006 18:51:00,0.070
16/12/2006 18:52:00,0.000
16/12/2006 18:53:00,0.000
16/12/2006 18:54:00,0.000
16/12/2006 18:55:00,0.090
16/12/2006 18:56:00,0.090
16/12/2006 18:57:00,0.084
16/12/2006 18:58:00,0.090
16/12/2006 18:59:00,0.090
16/12/2006 19:00:00,0.088
16/12/2006 19:01:00,0.090
16/12/2006 19:02:00,0.090
16/12/2006 19:03:00,0.090
16/12/2006 19:04:00,0.000
16/12/2006 19:05:00,0.082
16/12/2006 19:06:00,0.074
16/12/2006 19:07:00,0.106
16/12/2006 19:08:00,0.092
16/12/2006 19:09:00,0.064
16/12/2006 19:10:00,0.000
16/12/2006 19:11:00,0.000
16/12/2006 19:12:00,0.000
16/12/2006 19:13:00,0.000
16/12/2006 19:14:00,0.000
16/12/2006 19:15:00,0.000
16/12/2006 19:16:00,0.000
16/12/2006 19:17:00,0.000
16/12/2006 19:18:00,0.000
16/12/2006 19:19:00,0.000
